number_in_quran	sura_no	aya_no	text
41	2	34	﴿و﴾ اُذْكُرْ ﴿إذْ قُلْنا لِلْمَلائِكَةِ اُسْجُدُوا لِآدَم﴾ سُجُود تَحِيَّة بِالِانْحِناءِ ﴿فَسَجَدُوا إلّا إبْلِيس﴾ هُوَ أبُو الجِنّ كانَ بَيْن المَلائِكَة ﴿أبى﴾ امْتَنَعَ مِن السُّجُود ﴿واسْتَكْبَرَ﴾ تَكَبَّرَ عَنْهُ وقالَ: أنا خَيْر مِنهُ ﴿وكانَ مِن الكافِرِينَ﴾ فِي عِلْم اللَّه
42	2	35	﴿وقُلْنا يا آدَم اُسْكُنْ أنْت﴾ تَأْكِيد لِلضَّمِيرِ المُسْتَتِر لِيَعْطِف عَلَيْهِ ﴿وزَوْجك﴾ حَوّاء بِالمَدِّ وكانَ خَلَقَها مِن ضِلْعه الأَيْسَر ﴿الجَنَّة وكُلا مِنها﴾ أكْلًا ﴿رَغَدًا﴾ واسِعًا لا حَجْر فِيهِ ﴿حَيْثُ شِئْتُما ولا تَقْرَبا هَذِهِ الشَّجَرَة﴾ بِالأَكْلِ مِنها وهِيَ الحِنْطَة أوْ الكَرْم أوْ غَيْرهما ﴿فَتَكُونا﴾ فَتَصِيرا ﴿مِن الظّالِمِينَ﴾ العاصِينَ
43	2	36	﴿فَأَزَلَّهُما الشَّيْطان﴾ إبْلِيس أذْهَبهُما وفِي قِراءَة فَأَزالهُما نَحّاهُما ﴿عَنْها﴾ أيْ الجَنَّة بِأَنْ قالَ لَهُما: هَلْ أدُلّكُما عَلى شَجَرَة الخُلْد وقاسَمَهُما بِاللَّهِ إنّهُ لَهُما لَمِن النّاصِحِينَ فَأَكَلا مِنها ﴿فَأَخْرَجَهُما مِمّا كانا فِيهِ﴾ مِن النَّعِيم ﴿وقُلْنا اهْبِطُوا﴾ إلى الأَرْض أيْ أنْتُما بِما اشْتَمَلْتُما عَلَيْهِ مِن ذُرِّيَّتكُما ﴿بَعْضكُمْ﴾ بَعْض الذُّرِّيَّة ﴿لِبَعْضٍ عَدُوّ﴾ مِن ظُلْم بَعْضكُمْ بَعْضًا ﴿ولَكُمْ فِي الأَرْض مُسْتَقَرّ﴾ مَوْضِع قَرار ﴿ومَتاع﴾ ما تَتَمَتَّعُونَ بِهِ مِن نَباتها ﴿إلى حِين﴾ وقْت انْقِضاء آجالكُمْ
44	2	37	﴿فَتَلَقّى آدَم مِن رَبّه كَلِمات﴾ ألْهَمَهُ إيّاها وفِي قِراءَة بِنَصْبِ آدَم ورَفْع كَلِمات أيْ جاءَهُ وهِيَ رَبّنا ظَلَمْنا أنْفُسنا الآيَة فَدَعا بِها ﴿فَتابَ عَلَيْهِ﴾ قَبِلَ تَوْبَته ﴿إنّهُ هُوَ التَّوّاب﴾ عَلى عِباده ﴿الرَّحِيم﴾ بِهِمْ
45	2	38	﴿قُلْنا اهْبِطُوا مِنها﴾ مِن الجَنَّة ﴿جَمِيعًا﴾ كَرَّرَهُ لِيَعْطِف عَلَيْهِ ﴿فَإمّا﴾ فِيهِ إدْغام نُون إنْ الشَّرْطِيَّة فِي ما الزّائِدَة ﴿يَأْتِيَنكُمْ مِنِّي هُدًى﴾ كِتاب ورَسُول ﴿فَمَن تَبِعَ هُدايَ﴾ فَآمَنَ بِي وعَمِلَ بِطاعَتِي ﴿فَلا خَوْف عَلَيْهِمْ ولا هُمْ يَحْزَنُونَ﴾ فِي الآخِرَة بِأَنْ يَدْخُلُوا الجَنَّة
46	2	39	﴿والَّذِينَ كَفَرُوا وكَذَّبُوا بِآياتِنا﴾ كُتُبنا ﴿أُولَئِكَ أصْحاب النّار هُمْ فِيها خالِدُونَ﴾ ماكِثُونَ أبَدًا لا يَفْنَوْنَ ولا يَخْرُجُونَ
47	2	40	﴿يا بَنِي إسْرائِيل﴾ أوْلاد يَعْقُوب ﴿اُذْكُرُوا نِعْمَتِي الَّتِي أنْعَمْت عَلَيْكُمْ﴾ أيْ عَلى آبائِكُمْ مِن الإنْجاء مِن فِرْعَوْن وفَلْق البَحْر وتَظْلِيل الغَمام وغَيْر ذَلِكَ بِأَنْ تَشْكُرُوها بِطاعَتِي ﴿وأَوْفُوا بِعَهْدِي﴾ الَّذِي عَهِدْته إلَيْكُمْ مِن الإيمان بِمُحَمَّدٍ ﴿أُوفِ بِعَهْدِكُمْ﴾ الَّذِي عَهِدْت إلَيْكُمْ مِن الثَّواب عَلَيْهِ بِدُخُولِ الجَنَّة ﴿وإيّايَ فارْهَبُونِي﴾ خافُونِ فِي تَرْك الوَفاء بِهِ دُون غَيْرِي
48	2	41	﴿وآمِنُوا بِما أنْزَلْت﴾ مِن القُرْآن ﴿مُصَدِّقًا لِما مَعَكُمْ﴾ مِن التَّوْراة بِمُوافَقَتِهِ لَهُ فِي التَّوْحِيد والنُّبُوَّة ﴿ولا تَكُونُوا أوَّل كافِر بِهِ﴾ مِن أهْل الكِتاب لِأَنَّ خَلْفكُمْ تَبَع لَكُمْ فَإثْمهمْ عَلَيْكُمْ ﴿ولا تَشْتَرُوا﴾ تَسْتَبْدِلُوا ﴿بِآياتِي﴾ الَّتِي فِي كِتابكُمْ مِن نَعْت مُحَمَّد ﷺ ﴿ثَمَنًا قَلِيلًا﴾ عَرَضًا يَسِيرًا مِن الدُّنْيا أيْ لا تَكْتُمُوها خَوْف فَوات ما تَأْخُذُونَهُ مِن سَفَلَتكُمْ ﴿وإيّايَ فاتَّقُونِ﴾ خافُونِ فِي ذَلِكَ دُون غَيْرِي
49	2	42	﴿ولا تَلْبِسُوا﴾ تَخْلِطُوا ﴿الحَقّ﴾ الَّذِي أنْزَلْت عَلَيْكُمْ ﴿بِالباطِلِ﴾ الَّذِي تَفْتَرُونَهُ ﴿و﴾ لا ﴿تَكْتُمُوا الحَقّ﴾ نَعْت مُحَمَّد ﷺ ﴿وأَنْتُمْ تَعْلَمُونَ﴾ أنَّهُ الحَقّ
50	2	43	﴿وأَقِيمُوا الصَّلاة وآتُوا الزَّكاة وارْكَعُوا مَعَ الرّاكِعِينَ﴾ صَلُّوا مَعَ المُصَلِّينَ مُحَمَّد وأَصْحابه ونَزَلَ فِي عُلَمائِهِمْ وكانُوا يَقُولُونَ لِأَقْرِبائِهِمْ المُسْلِمِينَ اُثْبُتُوا عَلى دِين مُحَمَّد فَإنَّهُ حَقّ
51	2	44	﴿أتَأْمُرُونَ النّاس بِالبِرِّ﴾ بِالإيمانِ. بِمُحَمَّدٍ ﴿وتَنْسَوْنَ أنْفُسكُمْ﴾ تَتْرُكُونَها فَلا تَأْمُرُونَها بِهِ ﴿وأَنْتُمْ تَتْلُونَ الكِتاب﴾ التَّوْراة وفِيها الوَعِيد عَلى مُخالَفَة القَوْل العَمَل ﴿أفَلا تَعْقِلُونَ﴾ سُوء فِعْلكُمْ فَتَرْجِعُونَ فَجُمْلَة النِّسْيان مَحَلّ الِاسْتِفْهام الإنْكارِيّ
52	2	45	﴿واسْتَعِينُوا﴾ اُطْلُبُوا المَعُونَة عَلى أُمُوركُمْ ﴿بِالصَّبْرِ﴾ الحَبْس لِلنَّفْسِ عَلى ما تَكْرَه ﴿والصَّلاة﴾ أفْرَدَها بِالذِّكْرِ تَعْظِيمًا لِشَأْنِها وفِي الحَدِيث (كانَ ﷺ إذا حَزَبَهُ أمْر بادَرَ إلى الصَّلاة وقِيلَ الخِطاب لِلْيَهُودِ لَمّا عاقَهُمْ عَنْ الإيمان الشَّرَه وحُبّ الرِّياسَة فَأُمِرُوا بِالصَّبْرِ وهُوَ الصَّوْم لِأَنَّهُ يَكْسِر الشَّهْوَة والصَّلاة لِأَنَّها تُورِث الخُشُوع وتَنْفِي الكِبْر ﴿وإنَّها﴾ أيْ الصَّلاة ﴿لَكَبِيرَة﴾ ثَقِيلَة ﴿إلّا عَلى الخاشِعِينَ﴾ السّاكِنِينَ إلى الطّاعَة
53	2	46	﴿الَّذِينَ يَظُنُّونَ﴾ يُوقِنُونَ ﴿أنَّهُمْ مُلاقُو رَبّهمْ﴾ بِالبَعْثِ ﴿وأَنَّهُمْ إلَيْهِ راجِعُونَ﴾ فِي الآخِرَة فَيُجازِيهِمْ
54	2	47	﴿يا بَنِي إسْرائِيل اُذْكُرُوا نِعْمَتِي الَّتِي أنْعَمْت عَلَيْكُمْ﴾ بِالشُّكْرِ عَلَيْها بِطاعَتِي ﴿وأَنِّي فَضَّلْتُكُمْ﴾ أيْ آباءَكُمْ ﴿عَلى العالَمِينَ﴾ عالِمِي زَمانهمْ
55	2	48	﴿واتَّقُوا﴾ خافُوا ﴿يَوْمًا﴾ وهُوَ يَوْم القِيامَة ﴿لا تَجْزِي نَفْس عَنْ نَفْس شَيْئًا﴾ ﴿لا تَجْزِي﴾ فِيهِ ﴿نَفْس عَنْ نَفْس شَيْئًا﴾ ﴿ولا يُقْبَل﴾ بِالتّاءِ والياء ﴿مِنها شَفاعَة﴾ أيْ لَيْسَ لَها شَفاعَة فَتُقْبَل ﴿فَما لَنا مِن شافِعِينَ﴾ ﴿عَدْل﴾ فِداء ﴿ولا هُمْ يُنْصَرُونَ﴾ يُمْنَعُونَ مِن عَذاب اللَّه
56	2	49	﴿و﴾ اُذْكُرْوا ﴿إذْ نَجَّيْناكُمْ﴾ أيْ آباءَكُمْ والخِطاب بِهِ وبِما بَعْده لِلْمَوْجُودِينَ فِي زَمَن نَبِيّنا بِما أنْعَمَ اللَّه عَلى آبائِهِمْ تَذْكِيرًا لَهُمْ بِنِعْمَةِ اللَّه تَعالى لِيُؤْمِنُوا ﴿مِن آل فِرْعَوْن يَسُومُونَكُمْ﴾ يُذِيقُونَكُمْ ﴿سُوء العَذاب﴾ أشَدّه والجُمْلَة حال مِن ضَمِير نَجَّيْناكُمْ ﴿يُذَبِّحُونَ﴾ بَيان لِما قَبْله ﴿أبْناءَكُمْ﴾ المَوْلُودِينَ ﴿ويَسْتَحْيُونَ نِساءَكُمْ﴾ يَسْتَبْقُونَ ﴿نِساءَكُمْ﴾ لِقَوْلِ بَعْض الكَهَنَة لَهُ إنّ مَوْلُودًا يُولَد فِي بَنِي إسْرائِيل يَكُون سَبَبًا لِذَهابِ مُلْكك ﴿وفِي ذَلِكُمْ﴾ العَذاب أوْ الإنْجاء ﴿بَلاء﴾ ابْتِلاء أوْ إنْعام ﴿مِن رَّبّكُمْ عَظَيِمٌ﴾
57	2	50	﴿و﴾ اُذْكُرُوا ﴿إذْ فَرَقْنا﴾ فَلَقْنا ﴿بِكُمْ﴾ بِسَبَبِكُمْ ﴿البَحْر﴾ حَتّى دَخَلْتُمُوهُ هارِبِينَ مِن عَدُوّكُمْ ﴿فَأَنْجَيْناكُمْ﴾ مِن الغَرَق ﴿وأَغْرَقْنا آل فِرْعَوْن﴾ قَوْمه مَعَهُ ﴿وأَنْتُمْ تَنْظُرُونَ﴾ إلى انْطِباق البَحْر عَلَيْهِمْ
58	2	51	﴿وإذْ واعَدْنا﴾ بِأَلِفٍ ودُونها ﴿مُوسى أرْبَعِينَ لَيْلَة﴾ نُعْطِيه عِنْد انْقِضائِها التَّوْراة لِتَعْمَلُوا بِها ﴿ثُمَّ اتَّخَذْتُمْ العِجْل﴾ الَّذِي صاغَهُ لَكُمْ السّامِرِيّ إلَهًا ﴿مِن بَعْده﴾ أيْ بَعْد ذَهابه إلى مِيعادنا ﴿وأَنْتُمْ ظالِمُونَ﴾ بِاِتِّخاذِهِ، لِوَضْعِكُمْ العِبادَة فِي غَيْر مَحَلّها
59	2	52	﴿ثُمَّ عَفَوْنا عَنْكُمْ﴾ مَحَوْنا ذُنُوبكُمْ ﴿مِن بَعْد ذَلِكَ﴾ الِاتِّخاذ ﴿لَعَلَّكُمْ تَشْكُرُونَ﴾ نِعْمَتنا عَلَيْكُمْ
60	2	53	﴿وإذْ آتَيْنا مُوسى الكِتاب﴾ التَّوْراة ﴿والفُرْقان﴾ عَطْف تَفْسِير أيْ الفارِق بَيْن الحَقّ والباطِل والحَلال والحَرام ﴿لَعَلَّكُمْ تَهْتَدُونَ﴾ بِهِ مِن الضَّلال
61	2	54	﴿وإذْ قالَ مُوسى لِقَوْمِهِ﴾ الَّذِينَ عَبَدُوا العِجْل ﴿يا قَوْم إنّكُمْ ظَلَمْتُمْ أنْفُسكُمْ بِاِتِّخاذِكُمْ العِجْل﴾ يا قَوْم إنّكُمْ ظَلَمْتُمْ أنْفُسكُمْ بِاِتِّخاذِكُمْ العِجْل إلَهًا. ﴿فَتُوبُوا إلى بارِئُكُمْ﴾ خالِقكُمْ مِن عِبادَته ﴿فاقْتُلُوا أنْفُسكُمْ﴾ أيْ لِيَقْتُل البَرِيء مِنكُمْ المُجْرِم ﴿ذَلِكُمْ﴾ القَتْل ﴿خَيْر لَكُمْ عِنْد بارِئِكُمْ﴾ فَوَفَّقَكُمْ لِفِعْلِ ذَلِكَ وأَرْسَلَ عَلَيْكُمْ سَحابَة سَوْداء لِئَلّا يُبْصِر بَعْضكُمْ بَعْضًا فَيَرْحَمهُ حَتّى قَتَلَ مِنكُمْ نَحْو سَبْعِينَ ألْفًا ﴿فَتابَ عَلَيْكُمْ﴾ قَبِلَ تَوْبَتكُمْ ﴿إنَّهُ هُوَ التَّوابُ الرَّحِيمُ﴾
62	2	55	﴿وإذْ قُلْتُمْ﴾ وقَدْ خَرَجْتُمْ مَعَ مُوسى لِتَعْتَذِرُوا إلى اللَّه مِن عِبادَة العِجْل وسَمِعْتُمْ كَلامه ﴿يا مُوسى لَنْ نُؤْمِن لَك حَتّى نَرى اللَّه جَهْرَة﴾ عِيانًا ﴿فَأَخَذَتْكُمْ الصّاعِقَة﴾ الصَّيْحَة فَمُتُّمْ ﴿وأَنْتُمْ تَنْظُرُونَ﴾ ما حَلَّ بِكُمْ
63	2	56	﴿ثُمَّ بَعَثْناكُمْ﴾ أحْيَيْناكُمْ ﴿مِن بَعْد مَوْتكُمْ لَعَلَّكُمْ تَشْكُرُونَ﴾ لَعَلَّكُمْ تَشْكُرُونَ نِعْمَتنا بِذَلِكَ.
64	2	57	﴿وظَلَّلْنا عَلَيْكُمْ الغَمام﴾ سَتَرْناكُمْ بِالسَّحابِ الرَّقِيق مِن حَرّ الشَّمْس فِي التِّيه ﴿وأَنْزَلْنا عَلَيْكُمْ﴾ فِيهِ ﴿المَنّ والسَّلْوى﴾ هُما الترنجبين والطَّيْر السُّمانى بِتَخْفِيفِ المِيم والقَصْر وقُلْنا: ﴿كُلُوا مِن طَيِّبات ما رَزَقْناكُمْ﴾ ولا تَدَّخِرُوا فَكَفَرُوا النِّعْمَة وادَّخَرُوا فَقَطَعَ عَنْهُمْ ﴿وما ظَلَمُونا﴾ بِذَلِكَ ﴿ولَكِنْ كانُوا أنْفُسهمْ يَظْلِمُونَ﴾ لِأَنَّ وباله عَلَيْهِمْ
65	2	58	﴿وإذْ قُلْنا﴾ لَهُمْ بَعْد خُرُوجهمْ مِن التِّيه ﴿اُدْخُلُوا هَذِهِ القَرْيَة﴾ بَيْت المَقْدِس أوْ أرِيحا ﴿فَكُلُوا مِنها حَيْثُ شِئْتُمْ رَغَدًا﴾ واسِعًا لا حَجْر فِيهِ ﴿وادْخُلُوا الباب﴾ أيْ بابها ﴿سُجَّدًا﴾ مُنْحَنِينَ ﴿وقُولُوا﴾ مَسْأَلَتنا ﴿حِطَّة﴾ أيْ أنْ تَحُطّ عَنّا خَطايانا ﴿نَغْفِر﴾ وفِي قِراءَة بِالياءِ والتّاء مَبْنِيًّا لِلْمَفْعُولِ فِيهِما ﴿لَكُمْ خَطاياكُمْ وسَنَزِيدُ المُحْسِنِينَ﴾ بِالطّاعَةِ ثَوابًا
66	2	59	﴿فَبَدَّلَ الَّذِينَ ظَلَمُوا﴾ مِنهُمْ ﴿قَوْلًا غَيْر الَّذِي قِيلَ لَهُمْ﴾ فَقالُوا: حَبَّة فِي شَعْرَة ودَخَلُوا يَزْحَفُونَ عَلى أسْتاههمْ ﴿فَأَنْزَلْنا عَلى الَّذِينَ ظَلَمُوا﴾ فِيهِ وضْع الظّاهِر مَوْضِع المُضْمَر مُبالَغَة فِي تَقْبِيح شَأْنهمْ ﴿رِجْزًا﴾ عَذابًا طاعُونًا ﴿مِن السَّماء بِما كانُوا يَفْسُقُونَ﴾ بِسَبَبِ فِسْقهمْ أيْ خُرُوجهمْ عَنْ الطّاعَة فَهَلَكَ مِنهُمْ فِي ساعَة سَبْعُونَ ألْفًا أوْ أقَلّ
67	2	60	﴿و﴾ اُذْكُرْ "إذْ اسْتَسْقى مُوسى" ﴿أيْ طَلَبَ السُّقْيا﴾ "لِقَوْمِهِ" ﴿وقَدْ عَطِشُوا فِي التِّيه﴾ "فَقُلْنا اضْرِبْ بِعَصاك الحَجَر" ﴿وهُوَ الَّذِي فَرَّ بِثَوْبِهِ خَفِيف مُرَبَّع كَرَأْسِ الرَّجُل رُخام أوْ كَذّان فَضَرَبَهُ﴾ "فانْفَجَرَتْ" ﴿انْشَقَّتْ وسالَتْ﴾ "مِنهُ اثْنَتا عَشْرَة عَيْنًا" ﴿بِعَدَدِ الأَسْباط﴾ "قَدْ عَلِمَ كُلّ أُناس" ﴿سَبْط مِنهُمْ﴾ "مَشْرَبهمْ" ﴿مَوْضِع شُرْبهمْ فَلا يَشْرَكهُمْ فِيهِ غَيْرهمْ وقُلْنا لَهُمْ﴾ "كُلُوا واشْرَبُوا مِن رِزْق اللَّه ولا تَعْثَوْا فِي الأَرْض مُفْسِدِينَ" ﴿حال مُؤَكِّدَة لِعامِلِها مِن عَثِيَ بِكَسْرِ المُثَلَّثَة أفْسَدَ﴾
